wellName,datasetName,MD,GR
,,M,gAPI
GAG-  2A,PUBLIC_000,0,-9999
GAG-  2A,PUBLIC_000,0.1524,-9999
GAG-  2A,PUBLIC_000,0.3048,-9999
GAG-  2A,PUBLIC_000,0.4572,-9999
GAG-  2A,PUBLIC_000,0.6096,-9999
GAG-  2A,PUBLIC_000,0.762,-9999
GAG-  2A,PUBLIC_000,0.9144,-9999
GAG-  2A,PUBLIC_000,1.0668,-9999
GAG-  2A,PUBLIC_000,1.2192,-9999
GAG-  2A,PUBLIC_000,1.3716,-9999
GAG-  2A,PUBLIC_000,1.524,-9999
GAG-  2A,PUBLIC_000,1.6764,-9999
GAG-  2A,PUBLIC_000,1.8288,-9999
GAG-  2A,PUBLIC_000,1.9812,-9999
GAG-  2A,PUBLIC_000,2.1336,-9999
GAG-  2A,PUBLIC_000,2.286,-9999
GAG-  2A,PUBLIC_000,2.4384,-9999
GAG-  2A,PUBLIC_000,2.5908,-9999
GAG-  2A,PUBLIC_000,2.7432,-9999
GAG-  2A,PUBLIC_000,2.8956,-9999
GAG-  2A,PUBLIC_000,3.048,-9999
GAG-  2A,PUBLIC_000,3.2004,-9999
GAG-  2A,PUBLIC_000,3.3528,-9999
GAG-  2A,PUBLIC_000,3.5052,-9999
GAG-  2A,PUBLIC_000,3.6576,-9999
GAG-  2A,PUBLIC_000,3.81,-9999
GAG-  2A,PUBLIC_000,3.9624,-9999
GAG-  2A,PUBLIC_000,4.1148,-9999
GAG-  2A,PUBLIC_000,4.2672,-9999
GAG-  2A,PUBLIC_000,4.4196,-9999
GAG-  2A,PUBLIC_000,4.572,-9999
GAG-  2A,PUBLIC_000,4.7244,-9999
GAG-  2A,PUBLIC_000,4.8768,-9999
GAG-  2A,PUBLIC_000,5.0292,-9999
GAG-  2A,PUBLIC_000,5.1816,-9999
GAG-  2A,PUBLIC_000,5.334,-9999
GAG-  2A,PUBLIC_000,5.4864,-9999
GAG-  2A,PUBLIC_000,5.6388,-9999
GAG-  2A,PUBLIC_000,5.7912,-9999
GAG-  2A,PUBLIC_000,5.9436,-9999
GAG-  2A,PUBLIC_000,6.096,-9999
GAG-  2A,PUBLIC_000,6.2484,-9999
GAG-  2A,PUBLIC_000,6.4008,-9999
GAG-  2A,PUBLIC_000,6.5532,-9999
GAG-  2A,PUBLIC_000,6.7056,-9999
GAG-  2A,PUBLIC_000,6.858,-9999
GAG-  2A,PUBLIC_000,7.0104,-9999
GAG-  2A,PUBLIC_000,7.1628,-9999
GAG-  2A,PUBLIC_000,7.3152,-9999
GAG-  2A,PUBLIC_000,7.4676,-9999
GAG-  2A,PUBLIC_000,7.62,-9999
GAG-  2A,PUBLIC_000,7.7724,-9999
GAG-  2A,PUBLIC_000,7.9248,-9999
GAG-  2A,PUBLIC_000,8.0772,-9999
GAG-  2A,PUBLIC_000,8.2296,-9999
GAG-  2A,PUBLIC_000,8.382,-9999
GAG-  2A,PUBLIC_000,8.5344,-9999
GAG-  2A,PUBLIC_000,8.6868,-9999
GAG-  2A,PUBLIC_000,8.8392,-9999
GAG-  2A,PUBLIC_000,8.9916,-9999
GAG-  2A,PUBLIC_000,9.144,-9999
GAG-  2A,PUBLIC_000,9.2964,-9999
GAG-  2A,PUBLIC_000,9.4488,-9999
GAG-  2A,PUBLIC_000,9.6012,-9999
GAG-  2A,PUBLIC_000,9.7536,-9999
GAG-  2A,PUBLIC_000,9.906,-9999
GAG-  2A,PUBLIC_000,10.0584,-9999
GAG-  2A,PUBLIC_000,10.2108,-9999
GAG-  2A,PUBLIC_000,10.3632,-9999
GAG-  2A,PUBLIC_000,10.5156,-9999
GAG-  2A,PUBLIC_000,10.668,-9999
GAG-  2A,PUBLIC_000,10.8204,-9999
GAG-  2A,PUBLIC_000,10.9728,-9999
GAG-  2A,PUBLIC_000,11.1252,-9999
GAG-  2A,PUBLIC_000,11.2776,-9999
GAG-  2A,PUBLIC_000,11.43,-9999
GAG-  2A,PUBLIC_000,11.5824,-9999
GAG-  2A,PUBLIC_000,11.7348,-9999
GAG-  2A,PUBLIC_000,11.8872,-9999
GAG-  2A,PUBLIC_000,12.0396,-9999
GAG-  2A,PUBLIC_000,12.192,-9999
GAG-  2A,PUBLIC_000,12.3444,-9999
GAG-  2A,PUBLIC_000,12.4968,-9999
GAG-  2A,PUBLIC_000,12.6492,-9999
GAG-  2A,PUBLIC_000,12.8016,-9999
GAG-  2A,PUBLIC_000,12.954,-9999
GAG-  2A,PUBLIC_000,13.1064,-9999
GAG-  2A,PUBLIC_000,13.2588,-9999
GAG-  2A,PUBLIC_000,13.4112,-9999
GAG-  2A,PUBLIC_000,13.5636,-9999
GAG-  2A,PUBLIC_000,13.716,-9999
GAG-  2A,PUBLIC_000,13.8684,-9999
GAG-  2A,PUBLIC_000,14.0208,-9999
GAG-  2A,PUBLIC_000,14.1732,-9999
GAG-  2A,PUBLIC_000,14.3256,-9999
GAG-  2A,PUBLIC_000,14.478,-9999
GAG-  2A,PUBLIC_000,14.6304,-9999
GAG-  2A,PUBLIC_000,14.7828,-9999
GAG-  2A,PUBLIC_000,14.9352,-9999
GAG-  2A,PUBLIC_000,15.0876,-9999
GAG-  2A,PUBLIC_000,15.24,-9999
GAG-  2A,PUBLIC_000,15.3924,-9999
GAG-  2A,PUBLIC_000,15.5448,-9999
GAG-  2A,PUBLIC_000,15.6972,-9999
GAG-  2A,PUBLIC_000,15.8496,-9999
GAG-  2A,PUBLIC_000,16.002,-9999
